source_file,input_rows,blank_rows,duplicate_rows,kept_before_category_filter,kept_skincare,unmatched_product
reviews_0-250.csv,100000,294,12082,87624,87624,0
reviews_0-250.csv,100000,174,22731,77095,77095,0
reviews_0-250.csv,100000,114,15460,84426,84426,0
reviews_0-250.csv,100000,100,28477,71423,71423,0
reviews_0-250.csv,100000,175,3550,96275,96275,0
reviews_0-250.csv,100000,142,10586,89272,89272,0
reviews_0-250.csv,2130,0,4,2126,2126,0
reviews_250-500.csv,100000,82,13531,86387,86387,0
reviews_250-500.csv,100000,87,7256,92657,92657,0
reviews_250-500.csv,6725,3,36,6686,6686,0
reviews_500-750.csv,100000,107,4677,95216,95216,0
reviews_500-750.csv,16262,18,1227,15017,15017,0
reviews_750-1250.csv,100000,74,3151,96775,96775,0
reviews_750-1250.csv,19317,15,563,18739,18739,0
reviews_1250-end.csv,49977,59,619,49299,49299,0
